,bboxes_dataset_Bruno,bboxes_dataset_padrao
0,7,17
1,7,15
2,8,1
3,10,1
4,10,2
5,11,2
6,14,2
7,15,3
8,16,3
9,16,3
10,17,4
11,17,4
12,17,3
13,17,3
14,17,3
15,17,3
16,14,3
17,14,4
18,15,4
19,16,4
20,16,4
21,15,5
22,15,4
23,14,3
24,13,3
25,13,2
26,13,3
27,14,2
28,14,2
29,14,2
30,13,2
31,14,3
32,13,3
33,11,3
34,15,3
35,15,3
36,17,3
37,16,3
38,16,3
39,15,3
40,15,3
41,15,3
42,15,3
43,15,3
44,15,3
45,15,3
46,15,2
47,16,2
48,14,3
49,13,3
50,13,3
51,12,3
52,13,3
53,12,3
54,12,3
55,13,2
56,14,2
57,14,2
58,14,2
59,13,2
60,14,2
61,14,2
62,14,3
63,14,3
64,17,3
65,18,3
66,17,4
67,18,4
68,18,4
69,16,4
70,15,4
71,14,4
72,15,4
73,15,4
74,16,3
75,14,3
76,14,3
77,17,3
78,16,3
79,15,4
80,17,4
81,17,4
82,16,3
83,16,3
84,14,3
85,12,2
86,14,2
87,13,2
88,13,2
89,12,2
90,11,2
91,13,2
92,14,2
93,15,2
94,16,3
95,17,3
96,17,3
97,16,3
98,17,3
99,17,3
100,18,3
101,17,3
102,18,3
103,18,2
104,19,2
105,19,2
106,21,2
107,17,2
108,19,3
109,21,3
110,20,3
111,19,2
112,19,2
113,17,3
114,18,3
115,17,3
116,15,2
117,16,2
118,17,2
119,14,2
120,14,2
121,14,3
122,13,3
123,15,3
124,14,4
125,15,4
126,14,4
127,14,4
128,13,4
129,13,3
130,13,3
131,12,3
132,13,3
133,15,3
134,16,3
135,16,3
136,15,4
137,15,4
138,16,7
139,15,7
140,17,6
141,18,6
142,19,6
143,19,6
144,19,7
145,19,7
146,19,7
147,18,6
148,18,5
149,18,5
150,19,6
151,21,7
152,20,8
153,20,8
154,21,8
155,21,8
156,21,8
157,20,8
158,21,8
159,21,8
160,21,7
161,22,7
162,22,7
163,21,7
164,20,7
165,18,7
166,17,6
167,16,6
168,16,6
169,15,6
170,15,5
171,17,5
172,19,5
173,19,4
174,19,5
175,19,5
176,19,7
177,19,7
178,19,7
179,18,7
180,18,7
181,18,7
182,19,7
183,20,7
184,20,7
185,20,7
186,20,7
187,19,6
188,19,6
189,19,6
190,20,7
191,20,7
192,18,6
193,19,6
194,16,6
195,16,5
196,17,5
197,17,4
198,18,4
199,18,4
200,18,4
201,18,4
202,18,4
203,18,4
204,18,4
205,17,4
206,17,4
207,17,4
208,18,5
209,18,5
210,18,5
211,16,5
212,16,5
213,15,6
214,15,6
215,15,6
216,15,6
217,16,6
218,16,6
219,16,6
220,18,6
221,18,6
222,17,6
223,17,6
224,17,5
225,16,5
226,15,5
227,15,5
228,17,5
229,17,4
230,18,4
231,19,3
232,18,3
233,18,2
234,16,2
235,16,2
236,15,2
237,13,2
238,16,1
239,15,2
240,17,2
241,19,2
242,19,2
243,16,2
244,18,2
245,18,2
246,19,3
247,19,3
248,19,3
249,18,3
250,19,4
251,19,4
252,19,4
253,20,4
254,20,3
255,20,3
256,20,4
257,20,3
258,19,3
259,19,3
260,19,3
261,18,3
262,18,3
263,18,3
264,17,3
265,16,3
266,16,3
267,16,3
268,16,3
269,17,3
270,17,3
271,18,3
272,20,3
273,19,4
274,19,4
275,18,4
276,18,4
277,18,3
278,14,3
279,14,3
280,15,3
281,15,3
282,15,3
283,14,3
284,13,3
285,13,3
286,12,3
287,12,3
288,13,3
289,14,3
290,14,3
291,14,3
292,14,3
293,13,3
294,11,3
295,9,3
296,10,3
297,10,3
298,12,3
299,12,3
300,11,3
